record_id,company_id,product_asset_id,outcome_sentiment_id,business_mode_id,primary_domain_id,strategic_bucket_id,application_domain_id,status_id,notes
1,1,1,1,1,1,1,1.0,1,
2,2,2,2,1,2,2,2.0,2,
3,3,3,2,2,3,1,3.0,3,
4,4,4,3,2,4,1,4.0,4,
5,5,5,2,1,5,3,5.0,3,
6,6,6,3,3,6,1,6.0,5,
7,7,7,1,4,1,1,7.0,6,
8,8,8,3,3,7,3,8.0,7,
9,9,9,1,5,8,1,7.0,6,
10,9,10,3,2,4,1,4.0,4,
11,10,11,3,3,8,1,9.0,7,
12,11,12,1,6,6,4,10.0,8,
13,12,13,3,3,8,1,9.0,9,
14,13,14,1,3,9,5,11.0,8,
15,14,15,3,2,3,1,3.0,10,
16,15,16,3,2,4,1,4.0,9,
17,16,17,1,5,3,1,7.0,6,
18,17,18,3,3,6,1,6.0,7,
19,18,19,3,2,4,1,4.0,5,
20,19,20,3,1,10,2,12.0,7,
21,20,21,3,3,8,1,9.0,7,
22,21,22,3,2,4,1,4.0,10,
23,22,23,2,7,11,3,13.0,11,
24,23,24,3,3,12,2,14.0,7,
25,24,25,3,3,7,3,15.0,7,
26,25,26,2,2,3,1,3.0,3,
27,26,27,3,1,13,2,16.0,7,
28,27,28,3,3,1,1,17.0,7,
29,28,29,3,3,14,5,18.0,7,
30,29,30,1,3,1,1,17.0,6,
31,30,31,3,3,11,3,19.0,7,
32,31,32,2,1,5,3,5.0,3,
33,32,33,3,2,15,3,20.0,12,
34,33,34,3,1,16,4,21.0,7,
35,34,35,3,2,3,1,3.0,5,
36,35,36,1,3,1,1,22.0,8,
37,36,37,1,5,1,1,7.0,8,
38,37,38,3,8,4,4,23.0,7,
39,38,39,1,5,3,1,7.0,6,
40,39,40,3,2,11,3,4.0,10,
41,40,41,1,3,17,2,24.0,8,
42,41,42,3,2,3,1,3.0,5,
43,42,44,1,5,6,1,7.0,6,
44,42,43,3,3,6,1,6.0,7,
45,43,45,3,7,14,5,13.0,4,
46,44,46,3,3,18,2,25.0,7,
47,45,47,3,3,19,5,26.0,7,
48,46,48,3,2,4,1,,7,
49,47,49,3,1,5,3,27.0,7,
50,48,50,3,1,20,5,28.0,7,
51,49,51,3,1,8,1,29.0,2,
52,50,52,2,2,3,1,3.0,3,
